review_text,type
We had a wonderful Saturday night dinner.,4
They had a fire dancer by the beach and a music band all night.,3
The seafood grill was good and their buttered seafood appetizers were delicious.,1
"The grilled lamb was very chewy and not edible, so I would avoid it if possible.",1
the service was good for a packed restaurant,2
food tasted good.,1
Overall the atmosphere was great,3
the spicy and very diverse menu actually rocks,1
Service was brilliant,2
We had around 15 pax for dinner which we had to reserve 2 days in advance cause they are so busy.,2
They allowed us to bring our cake since we were celebrating and also hard liquor free of charge.,2
They only sell wine and beer.,2
There was a fire dancer who performed and we generally gave him some cash.,3
They set up a table on the beach specially for us.,1
Staff was friendly and accommodating.,2
A nice bar and dining space in Colombo.,3
We can park vehicles in the roadside.,3
Foods are really tasty.,1
"I would like to recommend the soft beverages here, apple juice and lime juice are the best.",1
"At night, there sing gentle songs.",3
They had arranged a special evening which included an entrance fee as well.,2
The restaurant ambiance was good.,3
Our orders came without any delay.,2
But food was not seasoned well and not spicy at all.,1
No enough salt and pepper.,1
Nice place decorated by the natural assets.,3
The sea view and the location is Fantastic for mind peace.,3
Best place for romantic candle light dinners with your loved one.,3
"So many varieties of starters, Noodles, drinks and rice.",1
Liquor also available here.,1
"Taste is so good, for the taste and the quality of the food price can be reasonable.",1
We dropped in for a quick drink and Dirty martini was on point.,1
Tequila sunrise had too much of syrup in it and tasted almost like cordial.,1
"Hot butter prawns were fresh, well prepared, juicey and crunchy at the same time, well deserved 10/10.",1
Great ambience.,3
"Sea breeze, nicely lit,  good music and everything needed for a perfect evening.",3
Prior reservation is recommended if you'd like a table right on the beach.,3
The garden area with Pandan trees has a nice private feel to it.,3
Actually its a Good place for Dinner out.,3
The dishes are delicious and tasty.,1
No doubts on the taste.,1
And customer handling is high.,2
Much recommend place.,4
Nice spot for dinner on the beach.,3
"We had black pepper crab, grilled king prawns, and a seafood hotpot.",1
the prawns were not as big as one might expect.,1
Crab was excellent,1
Bottled water is expensive though!,1
It's a perfect place for a spend your friday night with your gang also it's a good place for date night with a breathtaking sea view.,3
In weekend and friday night specifically you can enjoy live music and dance with tiquila,3
All the foods are so delicious and i love their cocktails.,1
"Beautiful ambiance, right by the ocean.",3
Waitstaff was attentive and helpful.,2
"Beachside seating limited, so we ended up sitting in a more enclosed outdoor area.",3
the live music really tied everything together,3
Food was tasty,1
The food is delicious,1
Gives good music,3
Very interesting place,3
has rapidly emerged as one of the foremost beachside restaurants in the popular Dehiwala-Mount Lavinia Beach.,3
"Most evenings will find the restaurant at full capacity, frequented by tourists and locals alike who know Barracuda for our reputation of great service, beachside views, and international cuisines.",4
friendly service from staff.,2
Delicious foods,1
"Recommended for evening parties, day outs and also to celebrate your special occasions.",4
Great place to have some delicious food.,1
"If you are looking for a drink, there's a pub at your service.",1
You can have a nice candle lit dinner near the beach.,3
Went for two pasta dishes and they were really delicious.,1
Food is above average but not so great.,1
My friend wanted to go here but I did not like the atmosphere because all the customers were drunk.,3
The waiters were drunk too because you can smell it when they talk.,2
If you do not drink alcohol like me then you would not like the atmosphere.,3
So unfortunately the experience was not good.,4
The first day I made an order and I was very impressed with the food quality and quantity.,1
The second day I ordered and it was half size even though I ordered large.,1
Called the restaurant and all they did was pass me from person to person and it was not resolved.,2
So the second time the boxes were large as the order was a large but it was mostly empty.,2
So beware its hit and miss with quantity and quality.,1
They lost a potential regular customer for something they could have easily fixed.,2
Not had the greatest experience at my first visit at the end of 2021.,4
The waiter was clearly drunk and messed up our order.,2
He even lost the debit card we used to settle the bill. We found it lying in the floor at the cashier.,2
The food is good.,1
One of the best places for sea food delicacies.,1
Food is delicious,1
and place has nice ambiance.,3
On the beach dining option is available and best during dusk.,3
Band is there to provide live music.,3
This place could get crowded during weekends.,4
Price is not too expensive.,1
Staff is friendly and efficiently provide service.,2
Good place to chill and relax listening to music.,3
the atmosphere is great,3
food is good,1
but the service not as great.,2
The music is too loud and flat out deafening if you did close to the dealers. ,3
"The biggest drawback is the pricing, it is now rediculously expensive.",1
"I ordered hot but got a stew instead, no excuses just constatation they call it hot pot, shame on you guys.",2
Mesmerizing sunset view,3
Awesome food,1
Romantic ambience,3
A must visit place,4
Had a really bad experience ever happened. Really unprofessional service done by them. Never recommend this place anyone. Went with 6 people at 3 pm waited 25 mins and waiters ignored us for some reason even when we called. We went and talked to one of them after and they said they are waiting for a shift change. So we just left after 40 mins of just sitting there. This has never happened anywhere else in Sri Lanka. This was beyond the worst service I thought I had before. Definitely won't go back,2
"It's a generic place for team meetups but the food, service and ambience is the most basic for a beach location.",3
They do have a byob option which is good for people who booze since what's on offer just like the food is a bit on the expensive side.,2
Amazing food.,1
Amazing ambience,3
Everything that we ordered was great.,1
"The must try from our choices were Nasi goreng, Mongolian chicken wings.",1
However the seafood sizzler was priced on the higher side.,1
the overall menu was cost effective as the quantity was sufficient.,1
Good food.,1
Booze is a bit pricey.,1
Service is a bit slow on Friday's and saturdays due to the large crowd but overall nice place to be.,2
A great place to relax with your friends with a few drinks and watch the sunset with your feet in the sand.,3
You can take your own hard liquor without having to pay corkage provided you order enough bites.,2
Live music most nights.,3
Clam place to enjoy the foods.,3
Delicious foods and we can bring our own alcohol and if we buy the foods etc they won't charge extra fee for our bottle.,2
We would like to visit again. Well recommend,4
Good service.,2
Tasty food.,1
Staff very accomodative and friendly.,2
please check your chairs. As the chair I was seated broke and I landed on the sand.,3
"Amazing place, very inviting, the ambience is very soothing given it's on the beach, and some old school music played by a live band.",3
I was told that they got their bar set up now so you can go for nice beer.The food is amazing as well.,1
"If you do everything visit the Barracuda, see if you can get a table out in the beach. It's pretty nice.",3
I just loved this place.,3
Cashews is one of the best dish they serve to vegetarians.,1
Excellent service and value for money.,2
Weekend nights are best to hangout.,3
Horrible customer service. We sat down and ordered two drinks but the waiter just stood there trying to make us uncomfortable and get us to order something more. Then he refused to serve us and said that they will only serve two people if the bill is going to be more than 4000. His tone alone was enough for me to get up and leave.,2
"Quite a good place to have dinner with your loved ones, family and friends. They have table arranged on the open beach as well as in-house. I always prefer the open beach is it gives the feeling of a beach restaurant.",3
The ideal time is after 6.30 when they put on the lights which bring up the romantic mood.,3
You can take your boose from outside as they do not have liquor.,2
Food is average,1
"and service is not up to the expected level. The waiters kind of lazy when we go there. Had to ask a couple of time the same thing. It could be me but generally, it's a good place to spend the evening.",2
Average food. Not so worth for the price.,1
Average washrooms.,2
Three stars only for the friendly waiter.,2
However some of the staff members seem to be drunk during work.,2
Beautiful setting on the beach shade with trees.,3
You can find various types of sea food and many other stuff here.,1
But the cocktails were not good for us and some foods were not worth for the price. Food was expensive.,1
Nice place to have a chill out with friends and family.,3
Finally You will be surprised with bill  (Vat + Service Charge).,2
Food is good,1
Location is good,3
Ambience is good.,3
I must say it was one of the worst experience in terms of making reservations. made multiple calls back and forth to get the correct information for a group reservation.,2
Great spot for dinner,3
We had good food.,1
We had good service,2
The staff were really friendly and helpful and the food arrived within good time.,2
A really nice place for a relaxing dinner with the soft music playing on the background.,3
The dish of the day which was Shanghai Style Fried Noodles with chicken was amazing. A must try. I definitely recommend this place.,1
Good place to have a chilled beer or hard liquor.,1
Location is good and they have nice outdoor seating.,3
Also you can enjoy their meals too. Bit expensive but food and bites are really good,1
Love the experience. The band was amazing.,3
Lovely location next to the Dehiwala beach. Clean & tasty food. Bit expensive but great service & excellent location to go with family too.,2
Delicious dishes,1
Located right along the Indian beach.Open Dining to feel the sea free while enjoy the sand under feets.,3
Best location to have drinks from lich and night time.,3
Indoor dining area also available with conditioned space.,3
Live music programs are arranged by the management regularly.,3
Bottles prices also reasonable.,1
Highly recommended. Advance booking also possible.,2
Card payment is also accepted.,2
Car park can be made right along the newly opened marine drive.,2
Great place to have meals. Space available for small gatherings.,3
Sea Food is excellent service is quality,1
Barracuda is a well known beach side restaurant in Colombo.,3
We went on a Poya day evening so they didn't have any liquor options.,2
But their mock tails were good. I highly recommend their hot butter cuttlefish. It was so yummy,1
This is a nice place to watch the sun set while zipping a beer.,3
The restaurant start getting crowded after 6.30 or 7 in the evening.,3
Prices are reasonable,1
but staff wasn't fully attending to serve us and we had to give them reminders,2
Lovely place to have your dinner with your family and friends.,3
"Very taste and very hot food, mainly the mixed grill sea food is great.",1
You can bring your own alcohol bottle and use it in the restaurant without any charge.,2
Good sea food variety is available.  Price are reasonable.,1
Very friendly service.,2
View is very good (on the beach). Highly recommended.,3
"Undoubtedly one of the best beach side restuarants in town. Location itself has a great ambiance, specially at night. They have seating inside and outside under the shade of mangroves as well as out in the beach with calming sea breeze. This place is ideal for a hangout and have a drink.",3
Service at barracuda is top notch owing to the wonderful staff who are friendly and attentive. Service is fast too.,3
"Their menu is pretty extensive and all the dishes we tried were absolutely great while hot butter cuttlefish which was crispy and crunchy, not too spicy and fried to perfection here stands out from the rest as the best. Similarly hot butter prawns, devilled pork and indonesian style chicken accompanied by a creamy gravy was pretty good too. Rice and noodles dishes didnt have any artificial flavours so their taste was enhanced with the other dishes we tried. Sizzling Mixed meat grill and sea food grill were worth the price as they contained plenty of items in it. Judging from the portion size,quality and taste the dishes were absolutely worth the price.",1
"Excellent place that i have visited. The hotel outside covered with trees and we can sit and have fun under those trees. We'll have functions, parties on this hotel. There we can arrange tables on the seashore too. We could see the sun set at the evening time very clear.",3
"Yesterday, we had a disappointing experience at Barracuda Restaurant. We were planning to spend the entire night at Barracuda upon seeing the pictures, until the moment we left as soon as we experience a bad time. Not just the service was very slow, we were mislead by the servers to think that the Mixed Grill plater will have plenty of meat items. Unfortunately, when the food arrived, it was barely enough for 1 person because it had 1 sausage, couple of small pieces of liver, 1 half boiled egg and other burnt meat underneath which we couldn't figure out what it was and the half of the plater was covered in vegetables.We immediately requested the manager at that it was around 6:30 pm. When the manager arrived, we were surprised to see how he was acting. I don't know whether this gentleman was under the influence of alcohol or what, but clearly he was not responsive with answers.When we asked the manager, why in the menu it clearly says meat plater and the meat mentioned is clearly described in plural form as in sausages etc but in reality it was just 1 sausage. His response was this is the standard size whether you like it or not.Then I ask do you really think this mixed grilled meat plater is enough for 3 people as your server described. His response was, ""I can give you more vegetable or salad to cover up the lose"".So I immediately said to the manager, what you are doing is very bad. You gave the impression that we will get a load of meat but the portion of mixed grill plater worth Rs. 3200 is only enough for 1 person. It is unfair and unjust. We didn't want this incident to ruin our mood and destroy our night so we immediately requested for Bill, paid and left.While we were leaving the server and security asked us to make a review so the owner apparently, Gihan Bandara would read this and take it seriously.",2
For love of God please avoid this place at all cost. There are better places next to this establishment which take care of the customers way better and at a reasonable cost. I have attached the receipt of the bill and picture of the plater.I feel like we got scammed. I will never come to this place and I will make sure that my friends avoid Barracuda as well.,2
I got a chance to spend that evening together with her. Wow place. anyone will be warmly welcomed by Baracuda but food wasn't up to my expected standard. Calm quiet sandy beach and whistling wind gave us life. Moreover they're really concerned about our safe side..for that they already have guards even to check whether there's trains coming on railway.to confirm safety when crossings.,3
No parking space available. You just have to park along the road.,2
Service was very bad and we had to wait so long to order.,2
We have asked them to arrange a table for our anniversary celebration but it wasn't arranged. Too bad service.,2
"First of all I wanted to find good place, watch LPL Cricket Match while having my dinner. As I have had Cricket practices in the afternoon, wanted to sip a beer. Alas ! No Corona. I mean the beer. However they had an offer during LPL. That is for 4 pints of Heineken for 1200/- nett., ordered that along with my vegetarian dinner. A steamed rice, 4 variety of mushroom chopsuey kind of dish. I felt five star. The bartender is also a nice guy.",2
Very decent place. Women group are also enjoying. But beware of Trains when you go back.,3
Great location next to the beach. But it is not a high end place. The food and beer is good. The staff is courteous but service not exactly quick.,3
The entrance is quite odd. You need to cross railway tracks to get into the restaurant.,3
"Overall, not a based place to spend the evening",3
Nice place to chill in the evening with frends and familly. Place is decorated with beautifull lighting and seating arrangement. Bar and band music are available. Mount lavinia beach is adjacent to this place with plesent scenery.,3
"This has been serving wonderful Thai, Chinese and grilled seafood for almost 4 years now.",1
"The ambience is just what you need to relax your mind and enjoy a hearty meal. It's a restaurant situated amidst screw pine trees. The view that you see is that of the sea and  the sky changing with time, adding color to the experience. The chairs are set under the trees, under sheds and also on the coast.Dinner is served under candle light and also fire torches lighting the sand.",3
The food is on point. The perfect dishes with probably the best chefs. Hot butter cuttlefish is one of their expertise. The sweet corn soup is lovely and fills your heart. The main dishes are mouthwatering and the best in Dehiwala.,1
The staff are very friendly and professional. They greet you with a smile and are always ready to make the stay comfortable.,2
Earlier they did not serve alcoholic beverages but the customers were allowed to bring in their own. Now they've started serving alcohol.,2
There's ample amount of parking on the Marie drive guarded by the restaurant management.,2
It's better to reserve a table over the phone before visiting it as it's mostly packed.,3
but the staff is downright rude. On several occasions this had happened. Shows the lack of training.,2
Superb place to spend an evening. Beach side single restra. Ample amount of lights and sea wave sounds with deliciously good food.,3
Prawns Fried Rice & Thai Red Curry we had along with local drink - Arrack,1
The restaurant is situated in a beautiful and a calm place.,3
The staff is very friendly and always available to support you.,2
The food is great and personally I loved it. The liquor is served after 5 pm. The prices are little bit expensive but reasonable.,1
"Also, you can go for a walk in the beach as the restaurant is situated adjecent to the beach as well. So that is a bonus point. I recommend this place.",2
Foods is average.,1
They got about one hour to serve fried rice.,1
It also without chillie paste and sause. I dont whats the reason.,1
Before 2years they had suprb service.,2
"Great experience. Excellent customer service and food, located right on the beach.",2
Good place to have a little chilling time.,3
Food is expensive but small in  portion  and not much tasty.,1
But good ambience.,3
View and the atmosphere was so good,3
Delicious foods & Prices are also reasonable,1
"Great customer service, Friendly staff, Very helpful",2
Very good ambience. Great views of the ocean and has a clean beachfront to chill and take a stroll.,3
"They also have a happy hour from 5p.m. to 7p.m. so if you are going out to have few drinks and chill out, definitely recommend the place.",2
"Food wise,they have a reasonably priced menu, the one we got was crispy calamari with chillie  sauce.The calamari was itself was good",1
"but the sauces were a let down as we got served with tomato ketchup were not spicy and their special orange sauce. This one was a joke of sort as they used sunquick as their orange flavor. NOPE. They said they mixed sunquick with the other ingredients to mix the sauce but I honestly felt like they jist served us concentrated sunquick as a sauce. Other than that, it was very nice.",1
Staff is friendly and acommodating. Wold visit again.,2
"Had 2 seafood platters, baked crab and hot butter cuttlefish, a steak and a few other dishes When food is not seasoned properly it's absolutely vile. All the vegetables that came with the food was spoiled. Broccoli zucchini and cauliflower and the mashed potato Probably days old. No stars is not an option here hence the one star. You can done in a five star hotel for the prices they charge. 25 k for rubbish.",1
"Most messed up place ive visited. Walked around for 15 minutes when I got there looking for a place to dine, the waiters dont care and when i finally asked a waiter for help he told me that i should go find the manager and ask him where we should sit? Where in the world does this happen? These guys have no idea what they're doing and look totally lost. All you see is them running around. Took them 30 minutes just to get us beer mugs, we actually had to walk in the kitchen and get it since we got sick of waiting just on mugs. Seems like the staff got no idea on what they need to do. This place also has no covid precautions, just a tap near the gate. After all this me and my friends just wanted to leave. God knows what goes in their food. You get better service anywhere else guys.",2
One of my all time favorites.,1
"However, during my last visit I felt that the quality of the food is little low than before.",1
But still tasty. Dishes are really good. I prefer Hot butter cuttlefish.,1
Note that prices are higher. Cuttlefish large costed around 1200 LKR without other taxes (Extra taxes around 23%).,1
Liquors are not available you have to bring it from outside.,2
Ambience is super cool for dinners,3
the food is really good and worth for the price,1
but the customer service is very very very poor !!! Hope they provide a good customer service  next time. we had to wait hours to get the menu,2
This is a great place to have a drink and get some really amazing sea food. Ordered the buttered cuttlefish and curry leaf prawns. And also got Singaporean chill crab and prawn marinara. Really good place to eat as it's on the beach.,1
Really good place to have nice seafood meal. Seating available in the beach itself. Nice ambiance.,3
"Awesome place to have a drink, have very good food and hang around, you can take your own bottle from outside, no cokeage if you buy food.",3
A beach restaurant with a nice ambience.,3
Cool and shady outdoor dining even during the day time regardless of it being right next to the beach which is mostly exposed to scorching sun.,3
Good food especially sea food.,1
One of the best seafood restaurants by the beach BYOB food is quite good with lot of cusine choices.,1
crowded usually. Try to reserve a table otherwise you will have to wait.,2
"Live music ,sand under your feet. Sea breeze with good food. Great place.",3
However the place can be too crowded at times and might have to stay longer than you expect to place an order,2
Perfect service and fast food within 15 min after order. This is the only place I experienced in the Colombo suburb that much of speedy service to fulfill our order.,2
Food was also tasty.,1
The one who served us also good gentlemen and did his best to serve us.,2
Only matter was food prices.,1
The service was above average,2
the ambience was very good,3
the food was palatable.,1
"On behalf of all of us at Businessfocus360, we would like to thank the team at Barracuda Seafood and Grill for a fantastic and memorable evening held on the 10th of April 2021. I can assure you that everyone enjoyed the ambience at the function area",3
we were thrilled at the overall service given to us by your staff members.,2
"Moreover, the food was absolutely delectable and well worth for the price we paid.",1
"We would also like to extend a big thank you out to the manager Mr. Beed, who truly went above and beyond to meet all our specific requirements. Mr. Beed was not only very accommodating but managed to exceed our expectations in terms of executing the function beautifully. Likewise, we would like to extend our appreciation out to Anjana; our waiter for the night as well as the in-house gardener who assisted us with the decorations and the post clean-up. Your efforts will never be forgotten by our team.",2
We wish team Barracuda nothing but the very best in their future endeavours and we hope to host many more events together with them soon.,2
Had wonderful time and the surrounding was awesome.,3
Food the Barracuda are really yummy.,1
But there BBQ was not a real-time one. That is one concern and then they didn't allow to take excess food which we had paid already.,2
Other than that everything was fine. They arranged to get us a Karaoke even which was somewhat ok.,3
A knowledgeable service.,2
Fresh and delicious food. Reasonably priced and got many varieties. Worth the wait,1
the view is great.,3
I am a frequent visitor to this place .Love the new hut on the beach.,3
Menu wise my favourite is salt & pepper cuttlefis and pork belly,1
Nice place and awesome sea view. Five stars from me and recommend for anyone who thinking or planning for parties or get togethers or day outings.,2
"Nice atmosphere, beachfront property , outside dining. Tasty food and good service.",3
"Recommended place for a peaceful evening out. I had awesome dinner with my loved ones. I would really like to visit this place again. I can recommend this place to any body who like to enjoy Delicious food, Live music , Sea view with good customer service.",3
"nice and quite place for anyone, families, friends, couples. environment is so nice.",3
foods are good. all the things under a reasonable price.,1
"the only thing is, Crows , because it's an almost open area. but no harm.",3
Great place to hang around have a drink and chill by the beach.,3
Quality of foods is good but the portion size for the price is a bit less. Overall good experience.,1
It was a pleasant evening with fresh sea food and live music.,3
Foods are tastefully freshly made and try to sizzler corner but get more on thai menu.,1
Prices are quite moderate but worth for the money.,1
hot butter cuttlefish was extraordinary. Little bit Expensive.,1
But Nice Environment near the beach.,3
Great Food and Drinks Selection.,1
If you go for lunch expect disturbing flies since seated out near the beach.,3
professional staff,2
I would give 4 stars for a dinner out when the flies are sleeping,3
One of the popular spots on the beach to unwind and have a drink by the water.,1
It's a BYOB place and food is extremely reasonable and delicious.,1
Great for a romantic dinner with your loved one or for group of friends,3
Service could be little better but the fact they are always full explains the delay. Total chill spot worth trying out,2
Love the food here.Good variety.,1
"However, there are lot of flies around.",3
Requested staff to move our food inside. Very helpful staff indeed.,2
"Nice and calm place. Good for friends, families and couples. Food was great. Superb customer service.",2
Nice place to enjoy. Foods are tasty and prices are worth.,1
The fastest food service in Colombo.,2
Great place to drink at sunset.,3
The food's not bad either,1
"Food was good, although not wow.",1
Service was good and fast.,2
My juice tasted of orange gone bad.,1
Very good quality food restaurant.,1
Very good location right on the beach. Very relaxing.,3
The staff friendly. Bar and restaurant.,2
You can enjoy Live music and great food in this place. Recomend to reserve your table before you go,3
The food was good and worth the price.,1
The drinks were not that good.,1
Nice atmosphere.,3
However the menu has not changed much over the years,2
I enjoyed the atmosphere,3
Food is really good.,1
Hot butter cuttle fish tastes good,1
Dishes are authentic.,1
Waiters are friendly,2
but difficult to find them for re-orders as they were too busy due to crowd. Demand to take beach side chairs.,2
Bit expensive for budget guys,2
Super chilled out place for a dinner with boyb.,3
Not the best seafood,1
amazing abiance.,3
Delicious food.,1
The menu has a big variety of food.,1
Friendly staff.,2
Once I organized a dinner party for about 60 guests and the staff was helpful and gave me a really good service.,2
The setting of the restaurant and the location is nice. Highly recommended.,3
tasty food and welcoming staff,2
Seafood grilled platter must try and butter cuttlefish,1
"Chill place in evening time, foods are very delicious, and staff servents also friendly.",2
Nice place to hang out with family and friends.,2
Beach outside sitting is available only after 6pm since its a public beach area. Inside sitting is well planned.,3
Food is good and priced well. Portion quantity was also good. Can bring your own bottles.,1
Overall this is a good place to hang out.,3
"We ordered a small seafood fried rice and a spicy rice chicken for 4 people but one portion is more than enough because they give is huge portions. Crispy prawn balls were nice as a starter and hot butter calamari amazing, others were regular tastes. We also ordered sex on the beach, Cinderella, virgin Mary and gummy bear. The taste of virgin Mary needs to improve and sex on beach and gummy bear was nice.",1
We were lucky enough to get a seat outside facing beach. But it's always better to put a reservation if possible before going.,3
Live music and good tasty food on the beach under the trees. Well set up and done nicely. Very energetic place with access to family and youngster. Trendy and decent place with great vibes.,3
Staff is attentive and provides an efficient service.,2
Food is absolutely delicious and prepared taking not too long.,1
Customers are allowed to bring in their own booze without being charged for corkage. Prices are moderate.,2
Great place next to sea. Great for dinner,1
"Will enjoy with live dj & sea wind  but they serving too spicy, better you take ice cream as desert",3
Went for a dinner in February 2019 here. Experience was so good. Has a nice view of the beach. Can access the beach area.,3
"Had french fries, prawns and chicken for side dishes. Those were so fresh and tasty. Had sea food rice, noodles and chicken with gravy. Those too were good.",1
Has a good service.,2
Nice cosy seaside restaurant and bar.,3
Great seafood options to go with your drinks.,1
A great place to hangout. Nice and friendly staff with good service.,2
a great environment for a lovely evening.,3
Food is really good.,1
Even the service is really good. ,2
They are having customised options too. Staff is very friendly.,2
Great seafood with variety of choices.,1
Clean and calm environment suitable for any age groups but gets crowded in the weekend so reserve a table beforehand. Beach view is beautiful and you can bring alcohol here they only serve meals and bites and sandy. Perfect place for a romantic dinner by the beach. Affordable prices and portions are pretty big too.,3
I specially likes the malasiyan style sea food noodles and hot butter cuttlefish.,1
It is the best place for everyone to hangout with friends and family,3
Service is superb and there are no body to disturb our free time,2
"Food is good, but little expensive.",1
"In front of the beach & right beside the Colombo Galle rail track,  therefore make sure to be extra careful. Ortherwise it's ok",3
